account_number,birth,occupation,account_date,state,city,address_date,level,total_boleto,num_boleto,total_pix_enviado,num_pix_enviado,total_pix_recebido,num_pix_recebido,paid,num_paid,unpaid,num_unpaid
422360,1990-06-02 00:00:00,Analista,2021-04-04 21:00:00,MG,Francisco Sa,2021-04-04 21:00:00,A,28339.25,441,67330.68,44,43459.58,441,28339.25,441,29981.33,463
583097,1988-05-09 00:00:00,Autonomo,2021-04-04 13:30:00,PR,Mercedes,2021-04-04 13:30:00,F,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
857149,2001-10-17 00:00:00,Analista,2021-04-05 02:00:00,PR,Porto Vitoria,2021-04-05 02:00:00,D,3925.19,81,12930.21,13,10014.23,81,3925.19,81,464.45,10
418279,1997-12-10 00:00:00,Analista,2021-04-05 21:00:00,BA,Lencois,2021-04-05 21:00:00,D,7511.79,198,14689.24,9,7960.17,198,7511.79,198,1930.54,51
106377,1976-10-07 00:00:00,Corretor,2021-04-05 03:30:00,MG,Ijaci,2021-04-05 03:30:00,C,4986.17,144,8589.4,8,6079.35,144,4986.17,144,2004.71,59
416756,1966-04-12 00:00:00,Analista,2021-04-05 13:00:00,MG,Jequitai,2021-04-05 13:00:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
106463,1981-07-15 00:00:00,Outros,2021-04-05 06:00:00,PR,Campina da Lagoa,2021-04-05 06:00:00,F,1742.44,20,5673.88,16,4294.95,20,1742.44,20,3135.87,34
688913,1983-04-18 00:00:00,Analista,2021-04-05 02:30:00,MG,Antonio Prado de Minas,2021-04-05 02:30:00,C,16533.34,239,30796.18,15,17429.19,239,16533.34,239,9238.04,137
995447,1966-10-17 00:00:00,Desenvolvedor,2021-04-05 15:00:00,MG,Alfredo Vasconcelos,2021-04-05 15:00:00,B,13110.87,136,76238.59,49,64707.96,136,13110.87,136,13471.6,138
59428,1989-08-31 00:00:00,Investidor,2021-04-05 21:30:00,PR,Pranchita,2021-04-05 21:30:00,F,1711.35,19,5759.04,10,4313.92,19,1711.35,19,3948.33,43
253345,1985-06-28 00:00:00,Corretor,2021-04-05 21:30:00,MG,Taparuba,2021-04-05 21:30:00,A,20683.41,412,52060.99,49,33070.58,412,20683.41,412,27147.4,534
832097,1967-08-10 00:00:00,Autonomo,2021-04-06 18:00:00,SP,Paraiso,2021-04-06 18:00:00,D,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
756365,1982-08-05 00:00:00,Investidor,2021-04-06 22:00:00,MG,Lambari,2021-04-06 22:00:00,B,28732.56,559,76480.36,50,49577.58,559,28732.56,559,8576.76,168
97652,1964-10-09 00:00:00,Corretor,2021-04-06 20:00:00,ES,Sao Domingos do Norte,2021-04-06 20:00:00,C,7109.81,144,7431.65,9,3423.86,144,7109.81,144,1838.13,37
336266,1980-08-28 00:00:00,Corretor,2021-04-06 17:00:00,SP,Cajobi,2021-04-06 17:00:00,B,15043.81,429,47091.36,45,32692.23,429,15043.81,429,7858.23,224
668093,1988-01-04 00:00:00,Desenvolvedor,2021-04-07 13:30:00,PR,Boa Esperanca do Iguacu,2021-04-07 13:30:00,F,8732.93,94,14844.88,18,6494.59,94,8732.93,94,8551.46,94
53565,1988-01-06 00:00:00,Analista,2021-04-07 02:00:00,SP,Pirapora do Bom Jesus,2021-04-07 02:00:00,D,9306.4,162,12375.52,13,3889.0,162,9306.4,162,3596.33,62
567301,1991-03-20 00:00:00,Desenvolvedor,2021-04-07 09:30:00,SP,Santopolis do Aguapei,2021-04-07 09:30:00,D,7730.41,214,15040.24,12,8625.18,214,7730.41,214,1708.9,48
933909,1985-12-06 00:00:00,Desenvolvedor,2021-04-07 01:30:00,RJ,Paraiba do Sul,2021-04-07 01:30:00,F,2269.1,38,6123.92,24,4280.16,38,2269.1,38,3152.41,54
806018,1984-08-18 00:00:00,Desenvolvedor,2021-04-07 20:30:00,GO,Santo Antonio do Descoberto,2021-04-07 20:30:00,D,8098.59,197,15388.89,12,8172.15,197,8098.59,197,1319.18,32
936686,1980-08-14 00:00:00,Analista,2021-04-07 07:00:00,PR,Juranda,2021-04-07 07:00:00,D,3581.22,103,13431.41,25,10438.76,103,3581.22,103,1789.69,52
384178,1995-08-21 00:00:00,Corretor,2021-04-07 20:00:00,MG,Bom Jardim de Minas,2021-04-07 20:00:00,D,2876.17,78,4423.02,16,2184.29,78,2876.17,78,2550.28,70
285796,1988-06-26 00:00:00,Outros,2021-04-07 10:00:00,MG,Serranos,2021-04-07 10:00:00,D,17309.26,188,28269.09,7,13641.68,188,17309.26,188,3352.04,36
356542,1990-09-04 00:00:00,Analista,2021-04-08 11:00:00,MG,Campina Verde,2021-04-08 11:00:00,C,7735.97,67,26280.48,12,21626.91,67,7735.97,67,3374.8,30
391468,1966-09-24 00:00:00,Analista,2021-04-08 09:30:00,SP,Riolandia,2021-04-08 09:30:00,C,9543.81,181,15524.11,10,8939.96,181,9543.81,181,3117.44,60
565050,1964-03-17 00:00:00,Outros,2021-04-08 18:30:00,MG,Sao Lourenco,2021-04-08 18:30:00,D,3609.25,74,11176.55,10,8214.69,74,3609.25,74,4587.29,95
731901,1965-12-05 00:00:00,Corretor,2021-04-08 06:00:00,GO,Faina,2021-04-08 06:00:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
311410,1976-08-01 00:00:00,Outros,2021-04-08 16:00:00,SC,Sao Joao do Itaperiu,2021-04-08 16:00:00,B,39377.75,764,68995.3,45,30721.78,764,39377.75,764,8917.8,173
743167,1995-02-20 00:00:00,Analista,2021-04-08 20:30:00,MG,Mantena,2021-04-08 20:30:00,C,1253.61,24,9926.77,12,10826.66,24,1253.61,24,2032.42,40
221895,1977-09-11 00:00:00,Corretor,2021-04-08 08:00:00,MG,Santana do Paraiso,2021-04-08 08:00:00,B,23650.51,465,68403.37,39,46481.62,465,23650.51,465,22080.22,437
973971,1986-08-29 00:00:00,Outros,2021-04-08 22:30:00,PR,Uniflor,2021-04-08 22:30:00,F,3477.84,36,8864.04,16,6274.11,36,3477.84,36,4201.95,43
900180,1980-05-24 00:00:00,Corretor,2021-04-08 02:30:00,MG,Claudio,2021-04-08 02:30:00,,6003.13,128,11114.83,11,6623.41,128,6003.13,128,3512.22,75
405024,1991-05-19 00:00:00,Outros,2021-04-08 16:30:00,BA,Aratuipe,2021-04-08 16:30:00,C,5408.41,79,19057.24,12,16901.15,79,5408.41,79,6258.44,93
351814,1986-07-25 00:00:00,Analista,2021-04-08 01:30:00,GO,Moipora,2021-04-08 01:30:00,C,6909.05,126,19293.85,20,12979.01,126,6909.05,126,6421.08,117
258906,1991-12-30 00:00:00,Desenvolvedor,2021-04-08 11:00:00,SC,Santa Rosa do Sul,2021-04-08 11:00:00,D,3027.97,91,6149.75,10,4635.89,91,3027.97,91,1840.23,56
711261,1981-11-01 00:00:00,Desenvolvedor,2021-04-08 11:00:00,GO,Ipiranga de Goias,2021-04-08 11:00:00,D,17570.71,176,29724.48,10,14801.16,176,17570.71,176,3590.7,37
693982,1990-02-02 00:00:00,Desenvolvedor,2021-04-08 10:30:00,ES,Alegre,2021-04-08 10:30:00,F,3315.85,39,8532.32,21,5472.95,39,3315.85,39,5279.01,62
127030,1988-06-09 00:00:00,Autonomo,2021-04-08 19:00:00,GO,Panama,2021-04-08 19:00:00,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
459588,1984-08-07 00:00:00,Autonomo,2021-04-08 06:30:00,MG,Delta,2021-04-08 06:30:00,,7355.12,107,26027.81,9,19504.62,107,7355.12,107,5748.69,85
595117,1986-05-07 00:00:00,Desenvolvedor,2021-04-08 21:30:00,MG,Fruta de Leite,2021-04-08 21:30:00,A,13223.42,379,43702.04,52,31352.56,379,13223.42,379,9367.14,269
69506,1965-07-05 00:00:00,Analista,2021-04-08 11:00:00,GO,Pires do Rio,2021-04-08 11:00:00,D,9828.94,183,20705.18,10,16616.96,183,9828.94,183,2557.79,48
201375,1982-08-18 00:00:00,Desenvolvedor,2021-04-09 06:30:00,GO,Orizona,2021-04-09 06:30:00,D,3890.95,107,9589.97,13,7026.37,107,3890.95,107,4054.46,110
120552,1993-12-05 00:00:00,Analista,2021-04-09 09:00:00,RJ,Nilopolis,2021-04-09 09:00:00,C,2699.29,101,5731.06,7,4415.65,101,2699.29,101,1874.67,68
83126,2000-11-20 00:00:00,Analista,2021-04-09 08:00:00,RJ,Sao Goncalo,2021-04-09 08:00:00,C,6297.78,185,11849.73,16,6380.45,185,6297.78,185,2809.77,84
487100,2002-12-20 00:00:00,Corretor,2021-04-09 06:30:00,SP,Patrocinio Paulista,2021-04-09 06:30:00,C,3689.36,123,8523.69,14,7060.41,123,3689.36,123,676.4,22
399562,1984-11-02 00:00:00,Autonomo,2021-04-09 22:30:00,PR,Boa Vista da Aparecida,2021-04-09 22:30:00,F,916.25,9,11582.34,15,11494.98,9,916.25,9,4113.96,41
170233,1970-08-25 00:00:00,Corretor,2021-04-09 03:00:00,RJ,Cambuci,2021-04-09 03:00:00,C,8966.37,107,20314.63,13,12749.45,107,8966.37,107,3902.9,46
549474,1987-04-05 00:00:00,Outros,2021-04-10 14:00:00,RJ,Arraial do Cabo,2021-04-10 14:00:00,F,8484.49,97,15837.27,22,8008.94,97,8484.49,97,15228.88,172
250546,1979-04-11 00:00:00,Investidor,2021-04-10 10:00:00,GO,Trindade,2021-04-10 10:00:00,D,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
859316,1978-04-02 00:00:00,Analista,2021-04-10 22:00:00,RJ,Cabo Frio,2021-04-10 22:00:00,C,7550.03,137,13682.36,10,7980.88,137,7550.03,137,4255.5,77
494250,1982-11-07 00:00:00,Analista,2021-04-10 17:00:00,ES,Irupi,2021-04-10 17:00:00,C,13165.57,185,24416.42,11,12919.1,185,13165.57,185,3126.78,44
364913,1976-07-21 00:00:00,Desenvolvedor,2021-04-10 15:00:00,SC,Jose Boiteux,2021-04-10 15:00:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
123925,1964-04-05 00:00:00,Corretor,2021-04-10 14:00:00,BA,Dario Meira,2021-04-10 14:00:00,C,1773.28,42,7262.63,10,6607.02,42,1773.28,42,1708.19,40
989633,1968-05-11 00:00:00,Desenvolvedor,2021-04-10 16:00:00,MG,Varjao de Minas,2021-04-10 16:00:00,A,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
569320,1990-12-13 00:00:00,Outros,2021-04-10 17:00:00,RJ,Quissama,2021-04-10 17:00:00,F,740.55,10,4186.49,12,3652.25,10,740.55,10,2178.76,30
963739,1990-11-01 00:00:00,Outros,2021-04-10 18:30:00,PR,Barra do Jacare,2021-04-10 18:30:00,F,6328.08,57,14162.76,21,8295.18,57,6328.08,57,3291.93,29
951482,1968-05-01 00:00:00,Investidor,2021-04-10 09:30:00,MG,Heliodora,2021-04-10 09:30:00,D,6247.07,108,14024.6,12,9148.13,108,6247.07,108,2928.01,50
720851,1992-03-29 00:00:00,Investidor,2021-04-10 21:30:00,ES,Viana,2021-04-10 21:30:00,D,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
377206,1982-09-27 00:00:00,Corretor,2021-04-10 05:00:00,BA,Morro do Chapeu,2021-04-10 05:00:00,B,6611.94,202,35732.7,52,30091.7,202,6611.94,202,3132.54,97
364042,1995-02-14 00:00:00,Desenvolvedor,2021-04-10 01:30:00,PR,Candido de Abreu,2021-04-10 01:30:00,D,5868.15,117,10266.53,10,6918.3,117,5868.15,117,4817.69,99
832818,1976-03-02 00:00:00,Corretor,2021-04-11 07:30:00,BA,Jacobina,2021-04-11 07:30:00,D,7776.27,224,16740.95,13,9758.91,224,7776.27,224,1647.71,48
227434,2004-03-23 00:00:00,Investidor,2021-04-11 01:30:00,MG,Vargem Alegre,2021-04-11 01:30:00,C,5886.24,130,17446.68,18,12819.33,130,5886.24,130,1905.64,41
738228,1988-05-12 00:00:00,Analista,2021-04-11 12:00:00,MG,Espera Feliz,2021-04-11 12:00:00,C,2611.8,85,8767.87,11,6643.96,85,2611.8,85,2878.69,95
355517,1968-07-09 00:00:00,Corretor,2021-04-11 14:00:00,PR,Sao Pedro do Parana,2021-04-11 14:00:00,D,6233.84,182,10151.73,11,4798.12,182,6233.84,182,806.85,24
525506,1989-12-23 00:00:00,Analista,2021-04-11 18:00:00,MG,Caxambu,2021-04-11 18:00:00,C,1679.87,34,7626.67,14,6467.07,34,1679.87,34,926.82,20
179267,1978-12-26 00:00:00,Corretor,2021-04-11 15:30:00,RJ,Vassouras,2021-04-11 15:30:00,,6511.24,141,8590.39,14,2843.14,141,6511.24,141,1151.45,26
850733,1976-02-25 00:00:00,Analista,2021-04-11 13:30:00,ES,Itaguacu,2021-04-11 13:30:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
951518,2004-05-20 00:00:00,Corretor,2021-04-11 08:00:00,ES,Itapemirim,2021-04-11 08:00:00,C,11703.88,193,13015.8,10,3321.87,193,11703.88,193,2312.16,38
787526,1965-10-12 00:00:00,Analista,2021-04-12 15:00:00,ES,Apiaca,2021-04-12 15:00:00,D,5270.31,98,10244.2,6,10471.21,98,5270.31,98,7612.12,141
56293,1981-09-19 00:00:00,Autonomo,2021-04-12 12:00:00,MG,Verissimo,2021-04-12 12:00:00,F,1470.44,17,10946.94,11,9755.55,17,1470.44,17,2574.62,29
536934,1975-06-03 00:00:00,Desenvolvedor,2021-04-12 05:30:00,BA,Camamu,2021-04-12 05:30:00,C,6038.8,129,12214.03,11,6674.47,129,6038.8,129,4640.45,98
812305,1982-01-23 00:00:00,Desenvolvedor,2021-04-12 12:00:00,GO,Montividiu,2021-04-12 12:00:00,C,8338.47,112,23234.63,16,16300.96,112,8338.47,112,9326.44,125
54143,1981-12-21 00:00:00,Desenvolvedor,2021-04-12 11:00:00,ES,Serra,2021-04-12 11:00:00,F,1966.6,46,4820.33,26,3149.19,46,1966.6,46,6493.17,150
355091,1985-07-31 00:00:00,Corretor,2021-04-12 08:30:00,ES,Afonso Claudio,2021-04-12 08:30:00,B,19867.84,249,65565.1,40,47643.63,249,19867.84,249,28331.0,356
466439,1973-10-06 00:00:00,Corretor,2021-04-12 13:00:00,MG,Alpercata,2021-04-12 13:00:00,D,10349.02,191,20179.85,14,12336.57,191,10349.02,191,2645.85,49
19500,1983-05-24 00:00:00,Analista,2021-04-12 15:00:00,BA,Gaviao,2021-04-02 05:00:00,C,7956.83,162,14250.66,16,8394.73,162,7956.83,162,2340.54,47
627039,1988-08-13 00:00:00,Corretor,2021-04-12 12:30:00,RJ,Pinheiral,2021-04-12 12:30:00,,2139.33,58,3563.83,13,2291.66,58,2139.33,58,765.06,21
847948,1981-01-15 00:00:00,Desenvolvedor,2021-04-12 05:00:00,PR,Boa Ventura de Sao Roque,2021-04-12 05:00:00,F,573.77,9,2388.45,8,2006.62,9,573.77,9,2009.56,32
76284,1983-08-01 00:00:00,Desenvolvedor,2021-04-12 04:00:00,MG,Consolacao,2021-04-12 04:00:00,B,17199.53,343,48645.92,42,32705.74,343,17199.53,343,14506.83,291
34926,1988-10-19 00:00:00,Desenvolvedor,2021-04-12 09:00:00,ES,Sao Gabriel da Palha,2021-04-12 09:00:00,F,919.46,10,4364.96,13,3762.24,10,919.46,10,1729.94,20
27986,1991-06-24 00:00:00,Outros,2021-04-13 18:30:00,PR,Perola dOeste,2021-04-13 18:30:00,F,6030.27,113,15690.04,17,10157.67,113,6030.27,113,4570.61,86
164397,1977-12-09 00:00:00,Analista,2021-04-13 21:00:00,MG,Sao Joao da Lagoa,2021-04-13 21:00:00,B,9693.69,279,37455.51,41,30263.83,279,9693.69,279,10403.73,305
808361,1987-12-05 00:00:00,Autonomo,2021-04-13 17:30:00,PR,Marilandia do Sul,2021-04-13 17:30:00,F,3669.92,34,12490.9,17,9456.21,34,3669.92,34,3508.14,33
74708,1984-02-26 00:00:00,Desenvolvedor,2021-04-13 13:30:00,BA,Carinhanha,2021-04-13 13:30:00,C,3676.93,58,7584.15,14,4920.91,58,3676.93,58,1016.27,16
171921,1988-12-18 00:00:00,Outros,2021-04-13 07:00:00,MG,Ipaba,2021-04-13 07:00:00,F,2779.45,29,8380.66,15,6172.12,29,2779.45,29,2657.01,27
970223,1992-07-02 00:00:00,Analista,2021-04-13 09:30:00,RJ,Saquarema,2021-04-13 09:30:00,D,10185.19,205,23387.49,12,15280.77,205,10185.19,205,6667.02,134
742136,1979-06-30 00:00:00,Outros,2021-04-13 16:00:00,PR,Lapa,2021-04-13 16:00:00,F,1123.58,23,3568.5,17,2539.1,23,1123.58,23,1536.98,32
273956,1981-07-07 00:00:00,Desenvolvedor,2021-04-13 19:30:00,BA,Fatima,2021-04-13 19:30:00,D,6440.01,120,13533.9,11,7826.42,120,6440.01,120,4901.83,91
286852,1993-06-02 00:00:00,Desenvolvedor,2021-04-13 06:30:00,ES,Marataizes,2021-04-13 06:30:00,F,5658.8,65,12331.98,24,6948.83,65,5658.8,65,18427.81,211
453443,1986-01-17 00:00:00,Analista,2021-04-13 08:30:00,ES,Mucurici,2021-04-13 08:30:00,C,4303.13,93,12831.55,15,9416.42,93,4303.13,93,1963.39,43
950696,1973-01-22 00:00:00,Desenvolvedor,2021-04-13 02:30:00,MG,Vazante,2021-04-13 02:30:00,D,5742.8,99,20322.39,17,15900.61,99,5742.8,99,4879.38,85
382798,1995-07-10 00:00:00,Analista,2021-04-14 01:00:00,BA,Santanopolis,2021-04-14 01:00:00,D,11084.69,100,22262.87,11,14690.47,100,11084.69,100,3506.89,32
279198,1995-11-28 00:00:00,Desenvolvedor,2021-04-14 06:30:00,ES,Linhares,2021-04-14 06:30:00,C,8391.01,155,17692.24,14,10528.44,155,8391.01,155,3810.79,71
946299,1994-08-24 00:00:00,Analista,2021-04-14 08:00:00,RJ,Santo Antonio de Padua,2021-04-14 08:00:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
317265,1995-12-17 00:00:00,Analista,2021-04-14 19:30:00,RJ,Paty do Alferes,2021-04-14 19:30:00,B,21127.73,566,52252.68,38,31872.87,566,21127.73,566,11867.47,313
929553,1988-11-09 00:00:00,Outros,2021-04-14 05:00:00,PR,Barra do Jacare,2021-04-10 18:30:00,F,3999.41,87,10157.53,16,7005.48,87,3999.41,87,3378.87,72
839209,1980-09-12 00:00:00,Corretor,2021-04-14 13:00:00,ES,Cariacica,2021-04-14 13:00:00,,10030.34,207,18431.55,16,10431.77,207,10030.34,207,1120.16,23
477796,1992-01-14 00:00:00,Autonomo,2021-04-14 19:30:00,PR,Perobal,2021-04-14 19:30:00,F,1291.56,18,4960.59,15,4488.3,18,1291.56,18,2635.97,38
91378,1990-09-28 00:00:00,Investidor,2021-04-14 15:30:00,PR,Juranda,2021-04-07 07:00:00,F,2172.57,22,7757.3,17,5956.66,22,2172.57,22,3711.75,38
689627,1963-06-17 00:00:00,Corretor,2021-04-14 19:00:00,ES,Alto Rio Novo,2021-04-14 19:00:00,,8567.67,114,19419.44,13,11808.45,114,8567.67,114,8273.76,111
127192,1992-07-12 00:00:00,Investidor,2021-04-14 21:00:00,ES,Piuma,2021-04-14 21:00:00,D,4032.24,69,13747.64,11,13407.38,69,4032.24,69,4625.58,77
286585,1990-10-22 00:00:00,Corretor,2021-04-14 18:30:00,MG,Pimenta,2021-04-14 18:30:00,C,3150.64,106,9090.38,16,6821.14,106,3150.64,106,3693.74,121
333647,1964-08-23 00:00:00,Corretor,2021-04-15 16:00:00,PR,Umuarama,2021-04-15 16:00:00,C,5458.36,110,6028.51,8,3239.49,110,5458.36,110,2443.1,50
159969,1984-07-31 00:00:00,Desenvolvedor,2021-04-15 21:30:00,PR,Cianorte,2021-04-15 21:30:00,D,8750.96,160,14820.98,8,8527.86,160,8750.96,160,2067.62,38
186285,1985-02-28 00:00:00,Analista,2021-04-15 20:30:00,RJ,Angra dos Reis,2021-04-15 20:30:00,D,10719.38,188,20918.4,15,13276.61,188,10719.38,188,3979.88,70
830539,2004-06-14 00:00:00,Analista,2021-04-15 21:00:00,RJ,Cordeiro,2021-04-15 21:00:00,B,31635.32,588,73107.14,45,45233.14,588,31635.32,588,14021.81,259
647427,2002-09-07 00:00:00,Corretor,2021-04-15 14:00:00,MG,Merces,2021-04-15 14:00:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
988259,1986-03-08 00:00:00,Corretor,2021-04-15 03:30:00,MG,Nova Lima,2021-04-15 03:30:00,,18164.5,199,41334.69,20,25536.51,199,18164.5,199,19637.17,213
457062,1979-04-10 00:00:00,Corretor,2021-04-15 08:30:00,RJ,Santa Maria Madalena,2021-04-15 08:30:00,C,9635.62,136,20905.81,10,19165.28,136,9635.62,136,1596.04,22
934510,1978-11-03 00:00:00,Corretor,2021-04-15 16:30:00,RJ,Sumidouro,2021-04-15 16:30:00,F,1609.33,30,4988.1,20,3590.88,30,1609.33,30,1763.37,34
7451,1980-12-06 00:00:00,Corretor,2021-04-15 03:00:00,MG,Santa Cruz do Escalvado,2021-04-15 03:00:00,D,13417.42,161,31832.71,10,21564.84,161,13417.42,161,2860.72,34
31683,1983-01-06 00:00:00,Outros,2021-04-15 15:00:00,PR,Boa Esperanca do Iguacu,2021-04-07 13:30:00,F,5693.36,102,8646.14,19,3448.1,102,5693.36,102,5728.06,103
554806,1978-05-04 00:00:00,Analista,2021-04-15 04:30:00,MG,Diamantina,2021-04-15 04:30:00,D,7812.05,213,12620.63,12,6723.82,213,7812.05,213,2232.57,61
830098,1984-09-14 00:00:00,Analista,2021-04-15 12:00:00,RJ,Petropolis,2021-04-15 12:00:00,D,10751.38,123,30286.15,13,22747.98,123,10751.38,123,6616.68,78
21136,1992-12-01 00:00:00,Outros,2021-04-15 02:30:00,PR,Japura,2021-04-15 02:30:00,F,1400.56,37,3065.61,15,1769.71,37,1400.56,37,1193.93,32
183498,1979-01-26 00:00:00,Corretor,2021-04-15 11:00:00,ES,Ponto Belo,2021-04-15 11:00:00,C,12800.65,134,29657.92,14,20538.61,134,12800.65,134,13937.49,147
582610,1996-09-30 00:00:00,Analista,2021-04-15 14:00:00,MG,Cordisburgo,2021-04-15 14:00:00,C,9069.89,180,11836.02,11,3384.14,180,9069.89,180,1458.22,29
261886,1988-05-16 00:00:00,Outros,2021-04-15 10:00:00,ES,Marechal Floriano,2021-04-15 10:00:00,F,3990.16,48,16979.31,13,13615.87,48,3990.16,48,2075.93,25
927870,1989-03-20 00:00:00,Investidor,2021-04-15 14:30:00,MG,Campo Florido,2021-04-15 14:30:00,,5850.84,72,17951.03,16,13092.5,72,5850.84,72,10918.35,133
478955,1964-07-29 00:00:00,Desenvolvedor,2021-04-16 23:00:00,MG,Canaa,2021-04-16 23:00:00,C,20059.79,390,34245.96,25,17165.81,390,20059.79,390,6630.14,129
33770,1988-01-07 00:00:00,Autonomo,2021-04-16 09:30:00,BA,Paulo Afonso,2021-04-16 09:30:00,D,8508.54,151,15735.81,12,9847.49,151,8508.54,151,3520.4,62
304503,1976-06-24 00:00:00,Analista,2021-04-16 06:30:00,PR,Indianopolis,2021-04-16 06:30:00,C,17210.62,241,25626.45,16,11570.25,241,17210.62,241,1494.94,21
604549,1966-10-12 00:00:00,Analista,2021-04-16 11:30:00,RJ,Bom Jesus do Itabapoana,2021-04-16 11:30:00,B,36050.45,547,73611.5,42,39747.1,547,36050.45,547,4551.0,69
139437,1968-12-28 00:00:00,Desenvolvedor,2021-04-16 22:00:00,SP,Charqueada,2021-04-16 22:00:00,D,5381.24,149,8854.94,11,5794.44,149,5381.24,149,947.93,26
534723,1974-02-08 00:00:00,Desenvolvedor,2021-04-16 06:00:00,SC,Luzerna,2021-04-16 06:00:00,,10658.25,274,18123.48,20,9834.37,274,10658.25,274,3045.57,78
